toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1000.01,50365310,,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,-5.9640000,-0.0760000,2458493.3839800,2.1715300,1.9370000,720.0000000,5.5648000,6563.7500000,2507.0000000,9.6040000,485.7350000,10249.0000000,4.1900000,2.1700000,2019-03-26 13:55:15,2020-05-20 16:00:02
1001.01,88863718,,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,-4.9560000,-15.5550000,2458492.8389300,1.9321700,3.4470000,980.0000000,5.8020400,5753.0000000,2426.0000000,9.4234400,295.8620000,7070.0000000,4.0300000,2.0100000,2019-03-26 13:55:20,2020-05-20 16:00:02
1002.01,124709665,,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,-1.4620000,-2.2490000,2458492.6015600,1.8672200,1.9260000,1630.0000000,51.1665000,38023.4000000,3890.0000000,9.2995010,943.1090000,8924.0000000,,5.7300000,2019-03-26 13:55:09,2020-05-20 16:00:02
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,-0.9390000,1.6400000,2458493.3957520,2.7432300,3.1670000,383.4100040,,1177.3599850,1631.0000000,9.3003000,7728.1700000,5388.5000000,4.1500000,,2019-03-26 13:55:21,2019-12-17 10:00:02
1004.01,238597883,,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,-4.4960000,9.3470000,2458493.5119600,3.5749100,2.5760000,500.0000000,4.7527600,2929.8700000,2049.0000000,9.1355000,356.4370000,9219.0000000,4.1400000,2.1500000,2019-03-26 13:55:18,2020-05-20 16:00:02
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.45s,-11.1015130,-15.7000000,-34.7000000,2458492.5552000,4.5507200,2.5990000,3620.0000000,6.5444900,254.0500000,1112.0000000,9.0850000,119.0970000,5613.0000000,,1.0900000,2019-03-26 13:55:26,2020-05-20 16:00:02
1006.01,156115721,,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,-29.1000000,-6.8000000,2458493.6773600,2.5044300,3.1850000,1250.0000000,6.0832400,6874.3800000,2536.0000000,9.2386000,,6616.0000000,,1.5300000,2019-03-26 13:55:18,2020-05-20 16:00:02
1007.01,65212867,,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,0.3570000,3.3990000,2458492.0410200,6.9982300,4.3140000,2820.0000000,15.5416000,1414.3300000,1708.0000000,8.8775900,283.2910000,6596.0000000,3.7100000,2.7000000,2019-03-26 13:55:21,2020-05-20 16:00:02
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,-17.9000000,1.3000000,2458492.5213620,2.0493600,2.2340000,249.5000000,1.7160700,2107.0500490,1887.0000000,8.9362000,144.2970000,6858.5000000,4.2000000,0.9900000,2019-03-26 13:55:18,2020-03-04 12:58:47
1009.01,107782586,,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,-3.2970000,4.8490000,2458492.2528500,1.9602200,1.6110000,1420.0000000,,15070.9000000,3086.0000000,8.4331000,866.1470000,8868.7000000,,,2019-03-26 13:55:17,2020-05-20 16:00:02
101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,-16.0110000,2458326.0089110,1.4304010,1.6387650,20452.5312500,13.1450080,1193.3795170,1499.0440670,12.4069000,375.3100000,5600.0000000,4.4885100,0.8600000,2018-09-05 18:34:18,2020-03-04 13:49:16
1010.01,139853601,,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,4.5020000,2458492.2580600,0.6808800,1.4580000,1580.0000000,,182419.0000000,5757.0000000,8.4508600,485.1220000,9438.0000000,,,2019-03-26 13:55:18,2020-05-20 16:00:02
1011.01,114018671,,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,-134.9010000,2458492.4443800,2.4699200,2.1510000,200.0000000,1.3396300,507.7410000,1322.0000000,8.2388000,52.6200000,5413.7000000,4.4600000,0.9400000,2019-03-26 13:55:13,2020-05-20 16:00:02
1012.01,427508467,,07h48m22.87s,117.0952850,+06d47m06.23s,6.7850640,-2.9900000,-0.0290000,2458492.1043400,0.8842500,1.6570000,1760.0000000,16.5334000,105841.0000000,5024.0000000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000,2019-03-26 13:55:24,2020-05-20 16:00:02
1013.01,97700520,,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,7.0610000,2458494.3679800,5.4298000,3.7790000,15610.0000000,,4847.5700000,2324.0000000,7.6095000,510.2950000,8868.7000000,,,2019-03-26 13:55:17,2020-05-20 16:00:02
1014.01,96246348,,06h54m14.78s,103.5616040,-34d13m22.16s,-34.2228210,-15.1000000,10.0000000,2458469.0299900,1.4094000,0.8820000,2840.0000000,,2041.4800000,1872.0000000,7.5380000,169.2050000,9307.0000000,,,2019-03-26 13:55:19,2020-05-20 16:00:02
